Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
SQA,08/05/2018,Morning,,Physics,Higher,Physics ,,09:00 – 11:30,2hr 30m,zpyb4wx,
SQA,31/05/2018,Afternoon,,Mandarin Simplified,Advanced Higher,Mandarin Simplified Listening and Discursive Writing,,13:00 – 14:45*,,,
SQA,09/05/2018,Afternoon,,Modern Studies,National 5,Modern Studies ,,13:00 – 15:20,2hr 20m,zxsnb9q,
SQA,31/05/2018,Afternoon,,Mandarin Traditional,Advanced Higher,Mandarin Traditional Listening and Discursive Writing,,13:00 – 14:45*,,,
SQA,09/05/2018,Afternoon,,Nuadh-eòlas,Nàiseanta 5,Nuadh-eòlas ,,13:00 – 15:20,2hr 20m,z9ttyrd,
SQA,09/05/2018,Morning,,Modern Studies,Higher,Modern Studies ,,09:00 – 11:15,2hr 15m,ztsvr82,
SQA,09/05/2018,Morning,,Nuadh-eòlas,An Àrd Ìre,Nuadh-eòlas ,,09:00 – 11:15,2hr 15m,,
SQA,30/05/2018,Morning,,Economics,Advanced Higher,Economics ,,09:00 – 11:30,,,
SQA,10/05/2018,Morning,,Media,National 5,Media ,,09:00 – 11:00,2hr,,
SQA,10/05/2018,Morning,,Music Technology,National 5,Music Technology ,,11:00 – 12:00*,1hr,zb97sbk,
SQA,10/05/2018,Afternoon,,Graphic Communication,National 5,Graphic Communication ,,13:00 – 15:00,2hr,znpy4wx,
SQA,10/05/2018,Morning,,Music Technology,Higher,Music Technology ,,09:00 – 09:45*,45m,z34qn39,
SQA,10/05/2018,Morning,,Media,Higher,Media ,,09:00 – 11:00,2hr,,
SQA,10/05/2018,Afternoon,,Graphic Communication,Higher,Graphic Communication ,,13:00 – 15:00,2hr,z276yrd,
SQA,11/05/2018,Morning,,English,Higher,"English Reading for Understanding,
Analysis and Evaluation",,09:00 – 10:30,1hr 30m,zqxhfg8,
SQA,11/05/2018,Morning,,English,Higher,English Critical Reading,,10:50 – 12:20,30m,zqxhfg8,
SQA,29/05/2018,Afternoon,,Latin,Advanced Higher,Latin Literary Appreciation,,13:00 – 14:30,,,
SQA,29/05/2018,Afternoon,,Latin,Advanced Higher,Latin Translating,,14:50 – 15:50,,,
SQA,29/05/2018,Afternoon,,Mathematics of Mechanics,Advanced Higher,Mathematics of Mechanics ,,13:00 – 16:00,,,
SQA,14/05/2018,Morning,,English,National 5,"English Reading for Understanding,
Analysis and Evaluation",,09:00 – 10:00,1hr,zmcrd2p,
SQA,14/05/2018,Morning,,English,National 5,English Critical Reading,,10:20 – 11:50,30m,zmcrd2p,
SQA,28/05/2018,Morning,,"Religious, Moral and Philosophical Studies",Advanced Higher,"Religious, Moral and Philosophical Studies ",,09:00 – 11:00,,,
SQA,15/05/2018,Afternoon,,Biology,National 5,Biology ,,13:00 – 15:30,2hr 30m,zync87h,
SQA,15/05/2018,Morning,,Biology,Higher,Biology ,,09:00 – 11:30,2hr 30m,zm6tyrd,
SQA,15/05/2018,Afternoon,,Human Biology,Higher,Human Biology ,,13:00 – 15:30,2hr 30m,,
SQA,16/05/2018,Afternoon,,History,National 5,History ,,13:00 – 15:20,2hr 20m,z2phvcw,
SQA,16/05/2018,Afternoon,,Eachdraidh,Nàiseanta 5,Eachdraidh ,,13:00 – 15:20,2hr 20m,z466fg8,
SQA,25/05/2018,Morning,,Accounting,Advanced Higher,Accounting ,,09:00 – 11:30,,,
SQA,16/05/2018,Morning,,History,Higher,History ,,09:00 – 11:20,2hr 20m,zxpfb9q,
SQA,16/05/2018,Morning,,Eachdraidh,An Àrd Ìre,Eachdraidh ,,09:00 – 11:20,2hr 20m,,
SQA,17/05/2018,Afternoon,,French,National 5,French Reading and Writing,,13:00 – 14:30,1hr 30m,z9b4q6f,
SQA,17/05/2018,Afternoon,,French,National 5,French Listening,,14:50 – 15:20* (approx),30m,z9b4q6f,
SQA,25/05/2018,Afternoon,,Health and Food Technology,Advanced Higher,Health and Food Technology ,,13:00 – 15:00,,,
SQA,17/05/2018,Morning,,French,Higher,French Reading and Directed Writing,,09:00 – 10:40,1hr 40m,z43cjxs,
SQA,17/05/2018,Morning,,French,Higher,French Listening and Writing,,11:00 – 12:00*,1hr,z43cjxs,
SQA,18/05/2018,Morning,,Business Management,National 5,Business Management ,,09:00 – 11:00,2hr,zd6fcdm,
SQA,18/05/2018,Afternoon,,Design and Manufacture,National 5,Design and Manufacture ,,13:00 – 14:45,1hr 45m,z6xpb9q,
SQA,24/05/2018,Morning,,Italian,Advanced Higher,Italian ,,09:00 – 10:30,,,
SQA,24/05/2018,Morning,,Italian,Advanced Higher,Italian ,,10:50 – 12:10*,,,
SQA,18/05/2018,Morning,,Business Management,Higher,Business Management ,,09:00 – 11:15,2hr 15m,zw26n39,
SQA,18/05/2018,Afternoon,,Design and Manufacture,Higher,Design and Manufacture ,,13:00 – 15:00,2hr,zwd7pv4,
SQA,24/05/2018,Afternoon,,Engineering Science,Advanced Higher,Engineering Science ,,13:00 – 15:00,,,
SQA,21/05/2018,Afternoon,,Chemistry,National 5,Chemistry ,,13:00 – 15:30,2hr 30m,zmnp34j,
SQA,21/05/2018,Morning,,Chemistry,Higher,Chemistry ,,09:00 – 11:30,2hr 30m,zjmtsbk,
SQA,22/05/2018,Morning,,Philosophy,National 5,Philosophy ,,09:00 – 11:20,2hr 20m,,
SQA,23/05/2018,Morning,,Gaelic (Learners),Advanced Higher,Gaelic (Learners) Reading and Translation,,09:00 – 10:30,,,
SQA,23/05/2018,Morning,,Gaelic (Learners),Advanced Higher,Gaelic (Learners) Listening and Discursive Writing,,10:50 – 12:10*,,,
SQA,22/05/2018,Afternoon,,Computing Science,National 5,Computing Science ,,13:00 – 15:00,2hr,zfs3kqt,
SQA,22/05/2018,Morning,,Philosophy,Higher,Philosophy ,,09:00 – 11:15,2hr 15m,,
SQA,22/05/2018,Afternoon,,Computing Science,Higher,Computing Science ,,13:00 – 15:00,2hr,zxmh34j,
SQA,23/05/2018,Morning,,English for Speakers of Other Languages,National 5,English for Speakers of Other Languages Listening,,11:20 – 11:55* (approx),30m,,
SQA,23/05/2018,Morning,,Classical Studies,Advanced Higher,Classical Studies ,,09:00 – 12:00,,,
SQA,23/05/2018,Afternoon,,English for Speakers of Other Languages,National 5,English for Speakers of Other Languages Reading,,13:00 – 14:00,1hr,,
SQA,23/05/2018,Afternoon,,Gaelic (Learners),National 5,Gaelic (Learners) Reading and Writing,,13:00 – 14:30,1hr 30m,zgxmn39,
SQA,23/05/2018,Afternoon,,Classical Studies,National 5,Classical Studies ,,13:00 – 15:00,2hr,,
SQA,23/05/2018,Afternoon,,English for Speakers of Other Languages,National 5,English for Speakers of Other Languages Writing,,14:20 – 15:30,1hr 10m,,
SQA,23/05/2018,Afternoon,,Gaelic (Learners),National 5,Gaelic (Learners) Listening,,14:50 – 15:20* (approx),30m,zgxmn39,
SQA,23/05/2018,Morning,,English for Speakers of Other Languages,Higher,English for Speakers of Other Languages Listening,,09:00 – 09:30* (approx),30m,,
SQA,23/05/2018,Morning,,Gaelic (Learners),Higher,Gaelic (Learners) Reading and Directed Writing,,09:00 – 10:40,1hr 40m,zpscdmn,
SQA,23/05/2018,Morning,,Classical Studies,Higher,Classical Studies ,,09:00 – 11:15,2hr 15m,,
SQA,23/05/2018,Morning,,English for Speakers of Other Languages,Higher,English for Speakers of Other Languages Reading and Writing,,09:50 – 12:00,2hr 10m,,
SQA,22/05/2018,Afternoon,,Computing Science,Advanced Higher,Computing Science ,,13:00 – 15:00,,,
SQA,23/05/2018,Morning,,Gaelic (Learners),Higher,Gaelic (Learners) Listening and Literature,,11:00 – 12:15*,1hr 15m,zpscdmn,
SQA,21/05/2018,Morning,,Chemistry,Advanced Higher,Chemistry ,,09:00 – 11:30,,,
SQA,24/05/2018,Morning,,Italian,National 5,Italian ,,09:00 – 10:30,1hr 30m,,
SQA,24/05/2018,Morning,,Italian,National 5,Italian ,,10:50 – 11:20* (approx),30m,,
SQA,24/05/2018,Afternoon,,Hospitality: Practical Cake Craft ,National 5,Hospitality: Practical Cake Craft  ,,13:00 – 13:45,45m,zhtsr82,
SQA,18/05/2018,Morning,,Business Management,Advanced Higher,Business Management ,,09:00 – 11:45,,,
SQA,24/05/2018,Afternoon,,Engineering Science,National 5,Engineering Science ,,13:00 – 14:50,1hr 50m,zphfcdm,
SQA,24/05/2018,Morning,,Italian,Higher,Italian ,,09:00 – 10:40,1hr 40m,,
SQA,18/05/2018,Afternoon,,Design and Manufacture,Advanced Higher,Design and Manufacture ,,13:00 – 15:00,,,
SQA,24/05/2018,Morning,,Italian,Higher,Italian ,,11:00 – 12:00*,1hr,,
SQA,24/05/2018,Afternoon,,Engineering Science,Higher,Engineering Science ,,13:00 – 15:00,2hr,z7qxfg8,
SQA,17/05/2018,Morning,,French,Advanced Higher,French Reading and Translation,,09:00 – 10:30,,,
SQA,17/05/2018,Morning,,French,Advanced Higher,French Listening and Discursive Writing,,10:50 – 12:10*,,,
SQA,28/05/2018,Morning,,"Religious, Moral and Philosophical Studies",National 5,"Religious, Moral and Philosophical Studies ",,09:00 – 11:20,2hr 20m,z2dmyrd,
SQA,28/05/2018,Afternoon,,Fashion and Textile Technology,National 5,Fashion and Textile Technology ,,13:00 – 14:00 ,1hr,,
SQA,28/05/2018,Afternoon,,Practical Woodworking,National 5,Practical Woodworking ,,14:30 – 15:30,1hr,,
SQA,28/05/2018,Morning,,"Religious, Moral and Philosophical Studies",Higher,"Religious, Moral and Philosophical Studies ",,09:00 – 11:15,2hr 15m,z782fg8,
SQA,16/05/2018,Morning,,History,Advanced Higher,History ,,09:00 – 12:00,,,
SQA,16/05/2018,Morning,,Eachdraidh,Àrd Ìre Adhartach,Eachdraidh ,,09:00 – 12:00,,,
SQA,29/05/2018,Morning,,Latin,National 5,Latin Literary Appreciation,,09:00 – 11:00 ,2hr,,
SQA,29/05/2018,Afternoon,,Latin,National 5,Latin Translating,,13:00 – 14:00,1hr,,
SQA,29/05/2018,Morning,,Physical Education,Higher,Physical Education ,,09:00 – 10:30,1hr 30m,zhf3cdm,
SQA,15/05/2018,Morning,,Biology,Advanced Higher,Biology ,,09:00 – 11:30,,,
SQA,29/05/2018,Afternoon,,Administration and IT,Higher,Administration and IT ,,13:00 – 14:00,1hr,,
SQA,29/05/2018,Afternoon,,Latin,Higher,Latin Literary Appreciation,,13:00 – 15:00 ,2hr,,
SQA,29/05/2018,Afternoon,,Latin,Higher,Latin Translating,,15:20 – 16:20,1hr,,
SQA,30/05/2018,Morning,,Practical Electronics,National 5,Practical Electronics ,,09:00 – 10:00,1hr,,
SQA,30/05/2018,Morning,,Economics,National 5,Economics ,,09:00 – 11:00,2hr,,
SQA,30/05/2018,Afternoon,,Art and Design,National 5,Art and Design ,,13:00 – 14:30 ,1hr 30m,zts3kqt,
SQA,11/05/2018,Afternoon,,English,Advanced Higher,English Literary Study,,13:00 – 14:30,,,
SQA,11/05/2018,Afternoon,,English,Advanced Higher,English Textual Analysis,,14:50 – 16:20,,,
SQA,30/05/2018,Morning,,Economics,Higher,Economics ,,09:00 – 11:00,2hr,,
SQA,30/05/2018,Afternoon,,Art and Design,Higher,Art and Design ,,13:00 – 15:00,2hr,zhfb87h,
SQA,31/05/2018,Morning,,Cantonese,National 5,Cantonese Reading and Writing,,09:00 – 11:00,2hr,,
SQA,31/05/2018,Morning,,Mandarin Simplified,National 5,Mandarin Simplified Reading and Writing,,09:00 – 11:00,2hr,,
SQA,31/05/2018,Morning,,Mandarin Traditional,National 5,Mandarin Traditional Reading and Writing,,09:00 – 11:00,2hr,,
SQA,31/05/2018,Morning,,Environmental Science,National 5,Environmental Science ,,09:00 – 11:30,2hr 30m,,
SQA,10/05/2018,Afternoon,,Graphic Communication,Advanced Higher,Graphic Communication ,,13:00 – 15:00,,,
SQA,10/05/2018,Afternoon,,Statistics,Advanced Higher,Statistics ,,13:00 – 16:00,,,
SQA,31/05/2018,Morning,,Dance,National 5,Dance ,,11:00 – 12:00,1hr,zc87pv4,
SQA,31/05/2018,Morning,,Cantonese,National 5,Cantonese Listening,,11:20 – 11:50* (approx),30m,,
SQA,09/05/2018,Morning,,Modern Studies,Advanced Higher,Modern Studies ,,09:00 – 12:00,,,
SQA,09/05/2018,Morning,,Nuadh-eòlas,Àrd Ìre Adhartach,Nuadh-eòlas ,,09:00 – 12:00,,,
SQA,31/05/2018,Morning,,Mandarin Simplified,National 5,Mandarin Simplified Listening,,11:20 – 11:50* (approx),30m,,
SQA,31/05/2018,Morning,,Mandarin Traditional,National 5,Mandarin Traditional Listening,,11:20 – 11:50* (approx),30m,,
SQA,31/05/2018,Afternoon,,Psychology,National 5,Psychology ,,13:00 – 15:00,2hr,,
SQA,08/05/2018,Morning,,Physics,Advanced Higher,Physics ,,09:00 – 11:30,,,
SQA,31/05/2018,Afternoon,,Practical Metalworking,National 5,Practical Metalworking ,,14:00 – 15:00 ,1hr,,
SQA,31/05/2018,Morning,,Cantonese,Higher,Cantonese Reading and Directed Writing,,09:00 – 11:10,2hr 10m,,
SQA,31/05/2018,Morning,,Mandarin Simplified,Higher,Mandarin Simplified Reading and Directed Writing,,09:00 – 11:10,2hr 10m,,
SQA,31/05/2018,Morning,,Mandarin Traditional,Higher,Mandarin Traditional Reading and Directed Writing,,09:00 – 11:10,2hr 10m,,
SQA,31/05/2018,Morning,,Environmental Science,Higher,Environmental Science ,,09:00 – 11:30,2hr 30m,,
SQA,31/05/2018,Afternoon,,Cantonese,Higher,Cantonese Listening and Writing,,13:00 – 14:20*,1hr 20m,,
SQA,31/05/2018,Afternoon,,Mandarin Simplified,Higher,Mandarin Simplified Listening and Writing,,13:00 – 14:20*,1hr 20m,,
SQA,31/05/2018,Afternoon,,Mandarin Traditional,Higher,Mandarin Traditional Listening and Writing,,13:00 – 14:20*,1hr 20m,,
SQA,31/05/2018,Afternoon,,Psychology,Higher,Psychology ,,13:00 – 15:00,2hr,,
SQA,03/05/2018,Morning,,Mathematics,Advanced Higher,Mathematics ,,09:00 – 12:00,,,
SQA,03/05/2018,Morning,,Matamataig,Àrd Ìre Adhartach,Matamataig ,,09:00 – 12:00,,,
SQA,01/06/2018,Morning,,Hospitality: Practical Cookery ,National 5,Hospitality: Practical Cookery  ,,09:00 – 10:00,1hr,,
SQA,01/06/2018,Afternoon,,Drama,National 5,Drama ,,13:00 – 14:30,1hr 30m,zrs3kqt,
SQA,01/06/2018,Afternoon,,Drama,Higher,Drama ,,13:00 – 15:00,2hr,zgnv9j6,
SQA,04/06/2018,Morning,,Care,National 5,Care ,,09:00 – 10:10,1hr 10m,,
SQA,04/06/2018,Afternoon,,German,National 5,German Reading and Writing,,13:00 – 14:30,1hr 30m,zqyc7ty,
SQA,04/06/2018,Afternoon,,German,National 5,German Listening,,14:50 – 15:20* (approx),30m,zqyc7ty,
SQA,04/06/2018,Afternoon,,Gàidhlig,Nàiseanta 5,Gàidhlig Leughadh agus Litreachas,,13:00 – 14:40,1hr 40m,zjssgk7,
SQA,02/05/2018,Afternoon,,Music,Advanced Higher,Music ,,14:30 – 15:45* (approx),,,
SQA,04/06/2018,Afternoon,,Gàidhlig,Nàiseanta 5,Gàidhlig Èisteachd,,15:00 – 15:25* ,25m,zjssgk7,
SQA,04/06/2018,Morning,,German,Higher,German Reading and Directed Writing,,09:00 – 10:40,1hr 40m,z7v42hv,
SQA,01/05/2018,Morning,,Geography,Advanced Higher,Geography ,,09:00 – 11:30,,,
SQA,01/05/2018,Morning,,Cruinn-eòlas,Àrd Ìre Adhartach,Cruinn-eòlas ,,09:00 – 11:30,,,
SQA,04/06/2018,Morning,,German,Higher,German Listening and Writing,,11:00 – 12:00*,1hr,z7v42hv,
SQA,04/06/2018,Afternoon,,Politics,Higher,Politics ,,13:00 – 15:15,2hr 15m,,
SQA,04/06/2018,Morning,,Gàidhlig,An Àrd Ìre,Gàidhlig Leughadh agus Sgrìobhadh,,09:00 – 10:50,1hr 50m,zgrsbk7,
SQA,04/06/2018,Morning,,Gàidhlig,An Àrd Ìre,Gàidhlig Èisteachd,,11:10 – 11:50*,40m,zgrsbk7,
SQA,25/05/2018,Morning,,Accounting,National 5,Accounting ,,09:00 – 11:00,2hr,,
SQA,25/05/2018,Morning,,Sociology,National 5,Sociology ,,09:00 – 11:00,2hr,,
SQA,30/04/2018,Morning,,Spanish,Advanced Higher,Spanish Reading and Translation,,09:00 – 10:30,,,
SQA,30/04/2018,Morning,,Spanish,Advanced Higher,Spanish Listening and Discursive Writing,,10:50 – 12:10*,,,
SQA,25/05/2018,Afternoon,,Health and Food Technology,National 5,Health and Food Technology ,,13:00 – 14:50,1hr 50m,zt6ngk7,
SQA,25/05/2018,Morning,,Accounting,Higher,Accounting ,,09:00 – 11:00,2hr,,
SQA,25/05/2018,Morning,,Sociology,Higher,Sociology ,,09:00 – 11:00,2hr,,
SQA,25/05/2018,Afternoon,,Health and Food Technology,Higher,Health and Food Technology ,,13:00 – 14:30,1hr 30m,zjw2n39,
,,,,,,,,,,,
